Valor,Descripción,Fecha inicio de vigencia,Fecha fin de vigencia
057,Ajuste en Vales de ropa Exento,2017-01-06,
058,Ajuste en Ayuda para renta Exento,2017-01-06,
059,Ajuste en Ayuda para artículos escolares Exento,2017-01-06,
060,Ajuste en Ayuda para anteojos Exento,2017-01-06,
061,Ajuste en Ayuda para transporte Exento,2017-01-06,
062,Ajuste en Ayuda para gastos de funeral Exento,2017-01-06,
063,Ajuste en Otros ingresos por salarios Exento,2017-01-06,
064,Ajuste en Otros ingresos por salarios Gravado,2017-01-06,
065,"Ajuste en Jubilaciones, pensiones o haberes de retiro Exento",2017-01-06,
066,"Ajuste en Jubilaciones, pensiones o haberes de retiro Gravado",2017-01-06,
067,Ajuste en Pagos por separación Acumulable,2017-01-06,
068,Ajuste en Pagos por separación No acumulable,2017-01-06,
069,"Ajuste en Jubilaciones, pensiones o haberes de retiro Acumulable",2017-01-06,
070,"Ajuste en Jubilaciones, pensiones o haberes de retiro No acumulable",2017-01-06,
071,Ajuste en Subsidio para el empleo (efectivamente entregado al trabajador),2017-01-06,
072,Ajuste en Ingresos en acciones o títulos valor que representan bienes Exento,2017-01-06,
073,Ajuste en Ingresos en acciones o títulos valor que representan bienes Gravado,2017-01-06,
074,Ajuste en Alimentación Exento,2017-01-06,
075,Ajuste en Alimentación Gravado,2017-01-06,
076,Ajuste en Habitación Exento,2017-01-06,
077,Ajuste en Habitación Gravado,2017-01-06,
078,Ajuste en Premios por asistencia,2017-01-06,
079,"Ajuste en Pagos distintos a los listados y que no deben considerarse como ingreso por sueldos, salarios o ingresos asimilados",2017-01-06,
080,Ajuste en Viáticos gravados,2017-01-06,
081,Ajuste en Viáticos (entregados al trabajador),2017-01-06,
082,Ajuste en Fondo de ahorro Gravado,2017-01-06,
083,Ajuste en Caja de ahorro Gravado,2017-01-06,
084,Ajuste en Prima de Seguro de vida Gravado,2017-01-06,
085,Ajuste en Seguro de Gastos Médicos Mayores Gravado,2017-01-06,
086,Ajuste en Subsidios por incapacidad Gravado,2017-01-06,
087,Ajuste en Becas para trabajadores y/o hijos Gravado,2017-01-06,
088,Ajuste en Seguro de retiro Gravado,2017-01-06,
089,Ajuste en Vales de despensa Gravado,2017-01-06,
090,Ajuste en Vales de restaurante Gravado,2017-01-06,
091,Ajuste en Vales de gasolina Gravado,2017-01-06,
092,Ajuste en Vales de ropa Gravado,2017-01-06,
093,Ajuste en Ayuda para renta Gravado,2017-01-06,
094,Ajuste en Ayuda para artículos escolares Gravado,2017-01-06,
095,Ajuste en Ayuda para anteojos Gravado,2017-01-06,
096,Ajuste en Ayuda para transporte Gravado,2017-01-06,
097,Ajuste en Ayuda para gastos de funeral Gravado,2017-01-06,
098,Ajuste a ingresos asimilados a salarios gravados,2017-01-06,
099,Ajuste a ingresos por sueldos y salarios gravados,2017-01-06,
100,Ajuste en Viáticos exentos,2017-01-06,
